,channelGrouping,fullVisitorId,visitNumber,visitStartTime,device_operatingSystem,device_isMobile,geoNetwork_region,geoNetwork_metro,geoNetwork_city,geoNetwork_networkDomain,totals_hits,totals_pageviews,totals_timeOnSite,trafficSource_source,trafficSource_medium
486088,Referral,9747922335496066281,11,1502908262,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),30,24,608,(direct),(none)
486092,Paid Search,1194898655679726272,1,1502902138,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,nortelnetworks.com,30,21,569,google,cpc
486093,Organic Search,1149339814297358022,1,1502902032,Linux,False,Washington,Seattle-Tacoma WA,Seattle,(not set),30,24,593,google,organic
486095,Organic Search,4298752292965548756,2,1502925468,iOS,True,Georgia,Atlanta GA,Atlanta,(not set),30,29,985,google,organic
486100,Referral,0273273778759886230,3,1502946913,Chrome OS,False,Illinois,Chicago IL,Chicago,comcast.net,32,23,610,(direct),(none)
486101,Referral,1543779422254594198,1,1502941451,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,frontiernet.net,32,26,1320,(direct),(none)
486109,Referral,3600578174003704209,28,1502925755,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Milpitas,(not set),34,30,1455,(direct),(none)
486116,Referral,7131506646021230113,9,1502908703,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Jose,(not set),36,27,855,(direct),(none)
486119,Referral,0117207511183642501,1,1502922217,Chrome OS,False,Colorado,Denver CO,Boulder,(not set),37,34,1853,(direct),(none)
486120,Referral,94925976289549145,1,1502922693,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),38,26,933,(direct),(none)
486127,Direct,3441568990237004750,3,1502907370,iOS,True,California,San Francisco-Oakland-San Jose CA,San Francisco,att.net,43,36,2474,(direct),(none)
486128,Organic Search,6958759408390889884,2,1502918100,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),43,30,686,google,organic
486129,Direct,3736269197856656447,4,1502889035,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,44,32,2759,(direct),(none)
486132,Referral,1215540071279518370,1,1502910427,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),45,39,1957,(direct),(none)
486133,Organic Search,310363117189226884,5,1502948854,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),45,28,1731,google,organic
486134,Organic Search,4835082938415020542,46,1502939256,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,bhn.net,45,32,1331,google,organic
486138,Referral,6888517919192311882,4,1502918313,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),47,35,1211,(direct),(none)
486139,Direct,4053729275950379466,22,1502931849,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,metronetinc.net,48,32,582,(direct),(none)
486143,Referral,6029841001969310158,2,1502934444,Chrome OS,False,New York,New York NY,New York,(not set),50,38,1838,(direct),(none)
486149,Organic Search,4618136280742770026,1,1502940889,iOS,True,California,San Francisco-Oakland-San Jose CA,Oakland,comcastbusiness.net,54,42,1357,google,organic
486150,Organic Search,7777689314764936171,1,1502890185,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,videotron.ca,55,36,692,google,organic
486151,Referral,8164437077304303845,1,1502938540,Macintosh,False,Michigan,Detroit MI,Ann Arbor,(not set),57,46,1008,(direct),(none)
486153,Organic Search,8168622439943230168,1,1502943159,Windows,False,Washington,Seattle-Tacoma WA,Seattle,amazon.com,63,46,2288,google,organic
486155,Referral,6708661699896063078,6,1502907343,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),67,51,2411,(direct),(none)
486157,Organic Search,9665902294692964886,3,1502903111,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,lgamerica.com,67,46,1024,google,organic
486159,Direct,3037612972616923003,1,1502941020,Macintosh,False,Texas,Dallas-Ft. Worth TX,Dallas,(not set),76,58,2495,(direct),(none)
486164,Direct,6016714305583610425,1,1502887809,iOS,True,District of Columbia,Washington DC (Hagerstown MD),Washington,spcsdns.net,90,61,2921,(direct),(none)
486165,Referral,6437802308243720163,2,1502917216,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),97,80,4292,(direct),(none)
486168,Referral,7046459416249489564,8,1502886935,Macintosh,False,Michigan,Detroit MI,Ann Arbor,(not set),120,81,4201,(direct),(none)
486169,Referral,1641800502665606239,1,1502937962,Linux,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),170,100,4658,(direct),(none)
487536,Direct,869511434448429269,1,1502930327,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),5,5,201,(direct),(none)
488464,Direct,0400673294493528797,1,1515527291,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),11,10,192,(direct),(none)
488490,Direct,4848151501716059738,1,1515542180,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,12,10,160,(direct),(none)
488530,Referral,4829072335445248379,3,1515510975,Macintosh,False,Illinois,Chicago IL,Chicago,purechat.com,14,10,961,(direct),(none)
488591,Organic Search,3962553334012467446,3,1515513752,Windows,False,New York,New York NY,New York,cogentco.com,17,15,191,google,organic
488597,Referral,3145099876179029871,2,1515549696,Macintosh,False,New York,New York NY,New York,(not set),18,13,226,(direct),(none)
488613,Organic Search,5840741541359380960,3,1515522476,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),19,17,269,google,organic
488622,Referral,9195974988483317620,1,1515522287,Linux,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),20,16,315,(direct),(none)
488628,Organic Search,7612695397664057852,1,1515521904,Macintosh,False,Washington,Seattle-Tacoma WA,Kirkland,(not set),21,17,323,google,organic
488636,Referral,8211841635249549924,6,1515521257,Macintosh,False,New York,New York NY,New York,(not set),22,14,1094,(direct),(none)
488637,Direct,9376551370311994483,1,1515558037,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,earthworksdfw.com,23,19,369,(direct),(none)
488654,Referral,482002016965620109,3,1515529700,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),25,21,449,(direct),(none)
488656,Organic Search,8577733721631630198,1,1515524782,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,25,22,773,google,organic
488661,Organic Search,7108770352415416750,1,1515570114,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,26,21,423,google,organic
488667,Organic Search,2512282903242124732,1,1515536170,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,28,19,385,google,organic
488669,Direct,8352192629374970404,1,1515542942,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),29,25,1343,(direct),(none)
488671,Organic Search,3971334370980705052,1,1515514097,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),29,21,1235,google,organic
488678,Referral,129437581510320161,4,1515533074,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),31,18,200,(direct),(none)
488680,Organic Search,577122401081479445,2,1515564976,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,bell.ca,32,20,234,google,organic
488688,Referral,6783550409695406697,2,1515532633,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),34,21,659,(direct),(none)
488689,Referral,2688715567118757498,8,1515512795,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),34,25,345,(direct),(none)
488707,Referral,9627378131384521585,1,1515544438,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),48,34,2161,sites.google.com,referral
488712,Referral,6488142369735907458,2,1515532508,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Jose,(not set),50,29,533,(direct),(none)
488714,Referral,7504635715076538528,1,1515526648,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),50,35,767,(direct),(none)
488719,Organic Search,0965372577544682772,9,1515529612,Macintosh,False,New York,New York NY,New York,(not set),59,40,1376,google,organic
488723,Referral,6175131886234470657,1,1515522922,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),73,57,3181,(direct),(none)
488725,Direct,4529513278706235133,10,1515564815,Windows,False,California,San Diego CA,San Diego,rr.com,81,48,1281,(direct),(none)
490949,Direct,1489613213430674992,1,1515508331,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,6,6,119,(direct),(none)
492222,Referral,7085885518086220533,5,1510600005,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),19,14,496,(direct),(none)
492263,Referral,1869713272197679372,1,1510593278,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),22,18,827,(direct),(none)
492341,Organic Search,3788017874460184694,4,1510612557,Windows,False,California,San Francisco-Oakland-San Jose CA,San Jose,comcastbusiness.net,40,25,1230,google,organic
492346,Referral,0838508590068883339,34,1510584825,Macintosh,False,Texas,Austin TX,Austin,(not set),41,29,552,(direct),(none)
492347,Referral,8256261964475196104,2,1510630882,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,unknown.unknown,41,29,880,(direct),(none)
492361,Organic Search,7283456026003360148,5,1510624968,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),51,39,807,google,organic
492373,Organic Search,9404134635266467014,4,1510612502,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),74,55,908,google,organic
492374,Referral,520061513166824323,4,1510608028,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),78,56,4924,(direct),(none)
492437,Social,7350591125797177458,16,1510605170,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,25,20,422,groups.google.com,referral
496620,Direct,1947121287364717065,3,1480719401,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,telepacific.net,8,7,269,(direct),(none)
496656,Organic Search,4286676770640078553,5,1480722431,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,9,8,118,(direct),(none)
496668,Organic Search,4242172639873299272,2,1480703820,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),10,10,158,(direct),(none)
496730,Referral,0246574639180766080,2,1480722169,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Palo Alto,comcast.net,12,12,370,(direct),(none)
496753,Referral,7522022248849575139,2,1480706270,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,windstream.net,13,13,538,(direct),(none)
496778,Referral,7518393139882907658,1,1480704929,Windows,False,New York,New York NY,New York,(not set),15,13,387,(direct),(none)
496779,Referral,1066020050760729061,1,1480728514,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,travelnet.mx,15,13,331,(direct),(none)
496785,Organic Search,2527528149176601,1,1480680916,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,bhn.net,15,13,348,(direct),(none)
496824,Referral,3788077234501576551,11,1480714708,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),19,17,652,(direct),(none)
496828,Referral,7183073463207684020,3,1480702737,Linux,False,California,Los Angeles CA,Los Angeles,(not set),19,16,454,(direct),(none)
496865,Referral,7584227374144950004,2,1480720803,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),24,24,572,(direct),(none)
496886,Paid Search,6079111180589876762,4,1480706005,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,27,25,771,(direct),(none)
496892,Referral,2587994886006501895,1,1480741782,Macintosh,False,Washington,Seattle-Tacoma WA,Kirkland,unknown.unknown,29,26,906,(direct),(none)
496899,Organic Search,9167543463561381691,1,1480731750,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,30,24,1477,(direct),(none)
496908,Referral,7657968382629784039,7,1480703971,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),32,24,720,(direct),(none)
496909,Direct,960612167859203448,1,1480693664,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,infinitycontact.com,32,28,2156,(direct),(none)
496911,Organic Search,7773367694615408886,3,1480740474,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,33,25,927,(direct),(none)
496912,Referral,1956307607572137989,21,1480700022,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,nuvox.net,34,26,762,mail.google.com,referral
496915,Referral,3133496817096951875,2,1480688613,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),36,27,994,(direct),(none)
496918,Organic Search,4742516716194612125,1,1480730094,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,38,17,620,(direct),(none)
496932,Display,0395012696484203225,2,1480710420,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),42,36,572,dfa,cpm
496933,Organic Search,254413001205574315,1,1480711176,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cat.com,42,33,1087,(direct),(none)
496935,Referral,651435875392157361,2,1480682514,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),42,35,961,(direct),(none)
496938,Direct,4988030082667892650,1,1480720381,iOS,True,New York,New York NY,New York,rr.com,44,38,1691,(direct),(none)
496947,Direct,3921649958751416379,2,1480701940,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),49,34,763,(direct),(none)
496948,Organic Search,7066946419396410808,1,1480698423,Macintosh,False,Ontario,(not set),Toronto,(not set),50,40,1114,(direct),(none)
496949,Referral,227952716086847756,2,1480704314,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),50,38,2883,(direct),(none)
496952,Referral,4324484121871564106,13,1480729192,Linux,False,New York,New York NY,New York,(not set),50,38,1947,(direct),(none)
496953,Referral,6200432860904233045,1,1480715172,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),50,37,1031,(direct),(none)
496954,Referral,904113296448524053,2,1480696870,Windows,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),51,39,1811,(direct),(none)
496956,Direct,7085536598312331292,1,1480710430,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,eastlink.ca,53,35,1034,(direct),(none)
496957,Paid Search,6079111180589876762,3,1480701147,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,53,38,835,(direct),(none)
496960,Referral,2389910661161701186,2,1480703846,Macintosh,False,New York,New York NY,New York,(not set),54,38,764,(direct),(none)
496963,Referral,3748161125080071023,2,1480724745,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),60,45,867,(direct),(none)
496964,Referral,1004669910658205499,1,1480701202,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),61,47,2174,(direct),(none)
496967,Organic Search,6898863270294328062,1,1480734910,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),68,50,1013,(direct),(none)
496968,Organic Search,5358347730935302771,1,1480745318,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,comcast.net,68,48,1314,(direct),(none)
496970,Referral,5358177725781959243,1,1480706314,Macintosh,False,New York,New York NY,New York,(not set),71,55,1469,(direct),(none)
496972,Organic Search,7312392177689574015,1,1480690603,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,frontiernet.net,77,52,1115,(direct),(none)
496974,Paid Search,6368397027577804857,1,1480699794,Windows,False,Texas,Dallas-Ft. Worth TX,Dallas,rr.com,84,61,1873,(direct),(none)
496978,Organic Search,9946129061582785641,4,1480736875,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),148,111,6147,(direct),(none)
498828,Organic Search,7044973376076354299,1,1511099203,Chrome OS,False,New York,New York NY,New York,rr.com,9,9,160,google,organic
499001,Direct,5334306047378632003,6,1511151833,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),18,17,677,(direct),(none)
499015,Organic Search,1205598654686057503,1,1511116678,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),20,19,401,google,organic
499079,Organic Search,2132758931217662087,3,1511144581,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),44,34,1034,google,organic
499083,Referral,9684889270406341669,3,1511108912,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sanbrunocable.com,45,28,1551,(direct),(none)
499090,Organic Search,5097087346105463693,17,1511158416,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),56,48,2633,google,organic
499093,Referral,2969889805039536710,1,1511139034,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,grandenetworks.net,65,45,878,(direct),(none)
499095,Organic Search,2594848153515428988,4,1511121521,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,73,50,1073,google,organic
499099,Referral,4069503238809511572,1,1511125002,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),89,52,1534,(direct),(none)
499100,Referral,0924740062320256115,2,1511121277,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,131,82,2026,(direct),(none)
503606,Referral,7346307461579354249,2,1482189655,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),10,10,262,(direct),(none)
503618,Organic Search,2654157729152071076,3,1482206313,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),10,10,421,(direct),(none)
503626,Paid Search,9830505479421032237,2,1482192082,Windows,False,North Carolina,Raleigh-Durham (Fayetteville) NC,Raleigh,twtelecom.net,11,11,198,(direct),(none)
503663,Referral,5100495841451468386,1,1482204039,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),12,10,267,(direct),(none)
503702,Organic Search,9584543788078228989,3,1482173797,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,2uibe.com,13,10,158,(direct),(none)
503707,Organic Search,7681832015202637738,1,1482160485,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,pchfmc.com,14,12,2739,bing,organic
503727,Organic Search,8883600023735279403,6,1482179335,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),14,14,1962,(direct),(none)
503749,Referral,1547996102864288970,3,1482165979,Macintosh,False,New York,New York NY,New York,(not set),15,13,253,(direct),(none)
503760,Paid Search,6716928511410179095,1,1482174024,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),16,14,2012,(direct),(none)
503770,Direct,5590743844926892757,28,1482162240,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,16,16,761,(direct),(none)
503773,Direct,1495007874575994713,17,1482173013,Windows,False,Virginia,Roanoke-Lynchburg VA,Salem,comcastbusiness.net,16,14,1034,(direct),(none)
503787,Direct,3609914106843763163,1,1482155110,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,17,16,761,(direct),(none)
503800,Organic Search,1509098808540073763,1,1482178410,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,19,15,435,(direct),(none)
503803,Organic Search,7410648917338692919,3,1482160492,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,19,18,618,(direct),(none)
503810,Direct,5216295436197840308,2,1482168775,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),19,15,277,(direct),(none)
503816,Organic Search,2682327128551926564,1,1482205625,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,20,18,1506,(direct),(none)
503817,Referral,0435284079726114731,3,1482189363,Linux,False,Washington,Seattle-Tacoma WA,Seattle,(not set),20,18,310,(direct),(none)
503821,Referral,8379398938146461034,2,1482191519,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),20,18,660,(direct),(none)
503823,Referral,6291608660137539472,1,1482169053,Linux,False,California,Los Angeles CA,Irvine,(not set),20,18,1222,(direct),(none)
503826,Direct,0777578217567505121,2,1482203319,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,20,16,804,(direct),(none)
503829,Referral,651435875392157361,10,1482180534,Macintosh,False,Nebraska,Omaha NE,Omaha,(not set),20,16,298,(direct),(none)
503831,Referral,5369119597016381899,1,1482178321,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),21,19,557,(direct),(none)
503832,Referral,3131990640734225937,1,1482207452,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),21,19,905,(direct),(none)
503841,Direct,1019144763983304316,1,1482201109,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,22,18,365,(direct),(none)
503847,Direct,278006067838626060,1,1482196210,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,savvis.net,23,17,584,(direct),(none)
503853,Referral,9259810944241867637,8,1482191172,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),24,20,649,(direct),(none)
503857,Organic Search,8582544988720326355,3,1482203393,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),25,20,233,(direct),(none)
503861,Referral,4184351765093293485,2,1482170095,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,unknown.unknown,25,19,398,(direct),(none)
503864,Direct,4819176962773320146,1,1482200494,Android,True,Texas,San Antonio TX,San Antonio,sbcglobal.net,25,24,938,(direct),(none)
503877,Organic Search,2942212781099976151,6,1482174122,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),27,25,1015,(direct),(none)
503882,Organic Search,4926891053674493225,1,1482206697,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),29,25,770,(direct),(none)
503884,Organic Search,7328155589685273432,1,1482190475,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),29,25,1176,(direct),(none)
503887,Referral,5541886923093040975,4,1482137111,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,29,23,719,(direct),(none)
503891,Organic Search,8596862850387134224,1,1482207502,Windows,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,iowatelecom.net,29,26,720,(direct),(none)
503892,Organic Search,722529201110417278,1,1482175821,iOS,True,Texas,Houston TX,Houston,(not set),30,27,1056,(direct),(none)
503893,Direct,6324348497900492040,1,1482173143,Macintosh,False,New York,New York NY,New York,(not set),30,23,668,(direct),(none)
503894,Referral,8792964538087565756,1,1482181981,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,31,29,507,(direct),(none)
503895,Referral,4609004095369993884,3,1482182622,Macintosh,False,New York,New York NY,New York,(not set),31,28,1899,(direct),(none)
503898,Referral,5793274854456231464,4,1482196315,Macintosh,False,District of Columbia,Washington DC (Hagerstown MD),Washington,(not set),32,22,461,(direct),(none)
503899,Direct,0946442826800977839,1,1482160541,Linux,False,New York,New York NY,New York,(not set),32,23,749,(direct),(none)
503900,Referral,9982895886072793603,3,1482204100,Chrome OS,False,California,Los Angeles CA,Los Angeles,rr.com,32,22,2317,(direct),(none)
503902,Referral,5086041801666974799,3,1482178467,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,comcast.net,34,26,610,(direct),(none)
503904,Referral,2174772547924417829,1,1482173784,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),35,30,2277,(direct),(none)
503907,Referral,5793274854456231464,3,1482192429,Macintosh,False,District of Columbia,Washington DC (Hagerstown MD),Washington,(not set),37,25,671,(direct),(none)
503909,Direct,201226261435270434,1,1482170984,Chrome OS,False,New York,New York NY,New York,(not set),38,30,757,(direct),(none)
503911,Referral,5043024428253608330,1,1482202515,Windows,False,New York,New York NY,New York,verizon.net,39,26,732,(direct),(none)
503917,Organic Search,6326579350877909587,1,1482202542,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,45,31,672,(direct),(none)
503920,Direct,9368618189538624238,3,1482203039,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,47,37,1134,(direct),(none)
503922,Referral,8660468043927620162,1,1482196276,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),51,37,1240,(direct),(none)
503923,Referral,1211742763650822422,6,1482173335,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,(not set),51,41,3089,(direct),(none)
503924,Direct,5246355792709327877,2,1482171343,Macintosh,False,Texas,Austin TX,Austin,(not set),52,47,4828,(direct),(none)
503925,Direct,7790208263336496144,3,1482179877,Macintosh,False,New York,New York NY,New York,bhn.net,54,45,1077,(direct),(none)
503926,Referral,1827763305655925232,4,1482175597,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,54,35,1427,(direct),(none)
503929,Referral,3965352402334784734,1,1482202207,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),59,40,979,(direct),(none)
503933,Referral,4599293151185767579,2,1482198930,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,62,48,1669,(direct),(none)
503934,Referral,6292071509874937149,1,1482172462,Windows,False,California,Los Angeles CA,Los Angeles,(not set),64,52,3454,(direct),(none)
503935,Referral,1439206441625639697,3,1482178050,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),64,50,2667,(direct),(none)
503936,Referral,8650561939076104430,1,1482185247,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,67,50,2110,(direct),(none)
503938,Referral,6379920233928997690,3,1482208972,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),70,55,2179,dealspotr.com,referral
503940,Organic Search,5520761942554213462,3,1482161690,Windows,False,California,San Francisco-Oakland-San Jose CA,San Mateo,comcast.net,80,59,709,(direct),(none)
503941,Direct,2402527199731150932,8,1482188198,Chrome OS,False,Illinois,Chicago IL,Chicago,(not set),90,63,2570,(direct),(none)
503943,Organic Search,1722461121471854562,2,1482161849,Android,True,California,San Francisco-Oakland-San Jose CA,Fremont,(not set),94,68,3188,(direct),(none)
503945,Referral,8277697496987047439,4,1482196459,Macintosh,False,New York,New York NY,New York,(not set),96,64,1282,(direct),(none)
503947,Organic Search,6680051680711620547,1,1482184258,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),142,110,4727,(direct),(none)
504247,Social,2739022125200634612,1,1482176338,Windows,False,Texas,San Antonio TX,San Antonio,(not set),12,11,272,t.co,referral
504249,Social,6579892662403001804,15,1482176342,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,(not set),19,17,961,t.co,referral
504275,Referral,5881905515196855662,1,1523061023,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,unknown.unknown,5,5,741,(direct),(none)
504366,Direct,5833663755166786980,1,1523039556,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,8,7,677,(direct),(none)
504417,Direct,4228120894446852194,1,1523053279,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,10,10,461,(direct),(none)
504443,Referral,2624779117832921396,6,1523043999,Macintosh,False,New York,New York NY,New York,(not set),11,11,618,(direct),(none)
504452,Referral,2157376429548559274,4,1523036117,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,comcast.net,11,9,229,(direct),(none)
504475,Referral,2609501788509224993,2,1523061802,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),12,12,535,(direct),(none)
504507,Organic Search,0369675535429910857,1,1523018978,Macintosh,False,Michigan,Detroit MI,Ann Arbor,(not set),14,11,238,google,organic
