Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
Mercedes Benz,Clase B,2014,1.6 B200 156cv Edition 2014,77000,490000,5.0,Monovolumen,Buenos Aires Interior
Ford,Ecosport,2011,1.6 My10 Xls 4x2,112743,238000,5.0,SUV,Córdoba
Volkswagen,Gol Trend,2012,1.6 Pack I 101cv,106000,199000,5.0,Hatchback,Capital Federal
Volkswagen,Fox,2017,1.6 Trendline,26000,280000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Mercedes Benz,Clase A,2018,1.6 A200 Urban 156cv,8800,1140000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Suran,2011,1.6 Comfortline 101cv 11a,85000,225000,5.0,Monovolumen,Córdoba
Volkswagen,Bora,2012,2.0 Trendline 115cv Tiptronic,118502,275000,4.0,Sedán,Bs.as. G.b.a. Sur
Honda,Fit,2011,1.4 Lx-l Mt 100cv,92000,235000,5.0,Hatchback,Corrientes
Volkswagen,Gol Trend,2014,1.6 Pack Ii 101cv,60000,250000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Bora,2011,1.8 Highline T 180cv Cuero,90000,285000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2016,2.0 Cd Tdi 4x4 Highline Pack At C34,38000,900000,4.0,Pick-Up,Capital Federal
Ford,Fiesta Kinetic Design,2013,1.6 Design 120cv Titanium,76000,297000,5.0,Hatchback,Córdoba
Ford,Focus II,2011,1.6 Trend Sigma,68000,238000,5.0,Hatchback,Capital Federal
Ford,Focus III,2013,2.0 Se Plus At6,93000,380000,5.0,Hatchback,Santa Fe
Ford,Focus II,2012,2.0 Ghia Mt,51200,275000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2011,1.6 Pack I 101cv,98000,175000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2011,1.6 Pack Iii 101cv I-motion,82000,221500,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Fiesta Kinetic Design,2014,1.6 Se 120cv,86000,355000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Gol,2011,1.4 Power 83cv,61000,165000,3.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2013,1.6 Pack Ii 101cv,69000,179500,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol,2012,1.4 Power Ps+ac 83cv,94000,125000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Bora,2012,1.9 Trendline I 100cv,130000,275000,4.0,Sedán,Buenos Aires Interior
Honda,Fit,2011,1.5 Ex Mt 120cv,98765,249000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2015,1.6 Pack I 101cv,79000,215000,5.0,Hatchback,Buenos Aires Interior
Ford,Focus II,2012,1.6 Trend Sigma,88000,280000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2011,1.6 Highline 11d Cuero,134600,200000,5.0,Monovolumen,Bs.as. G.b.a. Oeste
Mercedes Benz,Clase A,2013,2.0 A 250 At Sport B.efficiency,36000,33000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,CC,2014,2.0 Luxury Tsi 211cv,90000,645000,4.0,Sedán,Buenos Aires Interior
Volkswagen,Voyage,2012,1.6 Comfortline 101cv,126000,215000,4.0,Sedán,Bs.as. G.b.a. Oeste
Honda,Civic,2013,1.8 Exs At 140cv,62000,375000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Ranger,2016,3.2 Cd 4x4 Limited Tdci 200cv At,60000,820000,4.0,Pick-Up,Capital Federal
Volkswagen,Gol,2011,1.6 I Power 701,146000,145000,3.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv,87500,199500,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Voyage,2014,1.6 Comfortline Plus 2 I-motion Ll,62500,224999,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2015,1.6 Highline Msi 110cv,59000,315000,5.0,Monovolumen,Bs.as. G.b.a. Norte
Ford,Focus III,2016,1.6 S,43000,420000,5.0,Hatchback,Córdoba
Volkswagen,Gol,2012,1.4 Power Ps+ac 83cv,58000,145000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Gol Trend,2013,1.6 Pack Ii 101cv 3p,75000,205000,3.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Ka,2011,1.6 Pulse Top 95cv,92000,165000,3.0,Hatchback,Capital Federal
Volkswagen,Gol,2012,1.4 Power Ps+ac 83cv,54000,179900,5.0,Hatchback,Capital Federal
Volkswagen,Golf,2015,1.6 Trendline,41000,435000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Fox,2013,1.6 Highline,28500,265000,5.0,Hatchback,Capital Federal
Ford,Ranger,2014,3.2 Cd 4x2 Xls Tdci 200cv,128000,535000,4.0,Pick-Up,Capital Federal
Volkswagen,Passat,2013,2.0 Luxury Tsi 211cv,57000,469000,4.0,Sedán,Capital Federal
Ford,Fiesta Kinetic Design,2016,1.6 Se 120cv,17000,335000,5.0,Hatchback,Salta
Volkswagen,Crossfox,2018,1.6 Highline,14000,509980,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2013,1.6 Pack Iii 101cv,120000,235000,5.0,Hatchback,Santa Fe
Volkswagen,Vento,2011,2.0 Sportline Tsi 200cv Dgs,87000,450000,4.0,Sedán,Bs.as. G.b.a. Sur
Honda,Civic,2012,1.8 Lxs At 140cv,110000,330000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Ranger,2017,2.2 Cd Xl Tdci 150cv 4x2,30000,710000,2.0,Pick-Up,Bs.as. G.b.a. Sur
Volkswagen,Scirocco,2012,1.4 Tsi 160cv Dsg,110000,515000,2.0,Coupé,Bs.as. G.b.a. Sur
Ford,Ecosport,2015,1.6 Se 110cv 4x2,44800,370000,5.0,SUV,Bs.as. Costa Atlántica
Volkswagen,Suran,2014,1.6 Comfortline 101cv,84000,280000,5.0,Monovolumen,Capital Federal
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,42000,660000,5.0,Hatchback,Capital Federal
Volkswagen,Amarok,2012,2.0 Cd Tdi 180cv 4x4 Startline A34,150000,460000,4.0,Pick-Up,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x2 Trendline B33,125000,670000,4.0,Pick-Up,Córdoba
Volkswagen,Gol,2013,1.4 Power 83cv 3 p,55000,160000,3.0,Hatchback,Capital Federal
Ford,Fiesta Kinetic Design,2016,1.6 S Plus 120cv,27400,350000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Fiesta Kinetic Design,2016,1.6 Titanium 120cv,35000,370000,5.0,Hatchback,Buenos Aires Interior
Volkswagen,Gol,2011,1.4 Power Ps+ac 83cv,48500,150000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,The Beetle,2014,1.4 Tsi Design,30000,520000,3.0,Hatchback,Río Negro
Honda,Fit,2013,1.5 Ex-l Mt 120cv,105000,330000,5.0,Hatchback,Capital Federal
Volkswagen,Passat Variant,2011,2.0 Luxury Tsi 211cv,86500,355000,5.0,Rural,Capital Federal
Ford,Ranger,2016,3.2 Cd 4x4 Limited Tdci 200cv At,45000,930000,4.0,Pick-Up,Córdoba
Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x2 Trendline At,56000,660000,4.0,Pick-Up,Córdoba
Ford,Focus II,2012,1.6 Trend Sigma,44000,279000,5.0,Hatchback,Capital Federal
Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x2 Trendline At,62000,750000,4.0,Pick-Up,Capital Federal
Volkswagen,Suran,2013,1.6 Highline 101cv 11c,63000,298000,5.0,Monovolumen,Mendoza
Volkswagen,Saveiro,2017,1.6 Gp Cd 101cv Pack High,19000,450000,2.0,Pick-Up,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2011,1.6 Imotion Highline 11c,55000,250000,5.0,Monovolumen,Capital Federal
Ford,Ranger,2011,2.3 Cd Xl Plus 4x2,127000,350000,2.0,Pick-Up,Córdoba
Ford,Ecosport,2013,1.6 Se 110cv 4x2,94000,300000,5.0,SUV,Bs.as. G.b.a. Sur
Ford,Ecosport,2014,1.6 Titanium 110cv 4x2,38000,410000,5.0,SUV,Córdoba
Ford,Ka,2011,1.6 Fly Viral Usb/bluetooth,100000,130000,3.0,Hatchback,Córdoba
Ford,Focus II,2012,2.0 Ghia Mt,103000,285000,5.0,Hatchback,Buenos Aires Interior
Ford,Focus II,2013,2.0 Trend,103000,290000,5.0,Hatchback,Corrientes
Volkswagen,Golf,2016,1.4 Comfortline Tsi Dsg,37000,650000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Vento,2011,2.5 Luxury Tiptronic 170cv,120000,310000,4.0,Sedán,Córdoba
Volkswagen,Voyage,2015,1.6 Highline 101cv,43000,319900,4.0,Sedán,Bs.as. Costa Atlántica
Ford,Ranger,2015,3.2 Cd 4x4 Xlt Tdci 200cv,74000,630000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2014,1.6 Pack Ii 101cv,55000,248000,5.0,Hatchback,Bs.as. G.b.a. Norte
Honda,Civic,2016,1.8 Exs At 140cv,39000,620000,4.0,Sedán,Capital Federal
Volkswagen,Crossfox,2013,1.6 Highline Cuero,74000,310000,5.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Ecosport,2011,2.0 My10 Xlt Plus 4x2,111000,240000,5.0,SUV,Bs.as. G.b.a. Norte
Volkswagen,Vento,2011,2.0 Advance I 110cv,130000,299990,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x4 Trendline At,120000,570000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Focus III,2016,2.0 Sedan Titanium Mt,50000,515000,4.0,Sedán,Buenos Aires Interior
Volkswagen,Amarok,2012,2.0 Cd Tdi 122cv 4x2 Startline S22,155000,485000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Honda,Civic,2013,1.8 Exs At 140cv,70000,420000,4.0,Sedán,Capital Federal
Ford,Ecosport,2013,1.5 Se Tdci 90cv 4x2,78000,340000,5.0,SUV,Buenos Aires Interior
Volkswagen,Amarok,2011,2.0 Cd Tdi 163cv 4x2 Highline 1h2,120000,520000,4.0,Pick-Up,Buenos Aires Interior
Ford,Ranger,2016,3.2 Cd 4x2 Xlt Tdci 200cv,58000,799000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Volkswagen,Vento,2011,2.0 Sportline Tsi 200cv Dgs,120000,380000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Vento,2015,2.5 Luxury 170cv,75000,449000,4.0,Sedán,Bs.as. G.b.a. Norte
Ford,Focus II,2011,1.6 Trend Sigma,118000,240000,5.0,Hatchback,Tucumán
Honda,CR-V,2012,2.4 Lx 2wd 185cv At,127000,485000,5.0,SUV,Capital Federal
Volkswagen,Gol,2012,1.4 Power Ps+ac 83cv,43000,156000,5.0,Hatchback,Capital Federal
Ford,Fiesta Kinetic Design,2011,1.6 Design 120cv Titanium,100500,205000,5.0,Hatchback,Capital Federal
Volkswagen,Gol Trend,2013,1.6 Pack Ii 101cv,111000,234000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Fiesta Kinetic Design,2017,1.6 Se 120cv,15000,425000,5.0,Hatchback,Capital Federal
Ford,Focus III,2016,2.0 Sedan Se Plus At6,49000,430000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Polo,2016,1.6 Comfortline,35000,325000,4.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Focus II,2012,2.0 Exe Sedan Trend Plus,48000,290000,4.0,Sedán,Neuquén
Volkswagen,Vento,2011,2.5 Luxury Tiptronic 170cv,121000,279500,4.0,Sedán,Capital Federal
Ford,Fiesta Kinetic Design,2016,1.6 Se 120cv,29000,369000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Ecosport,2017,1.6 Se 110cv 4x2,20000,485000,5.0,SUV,Buenos Aires Interior
Volkswagen,Fox,2011,1.6 Comfortline,115000,180500,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Gol Trend,2011,1.6 Pack Iii 101cv,84000,170000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2013,1.6 Comfortline 101cv 11a,82000,239000,5.0,Monovolumen,Bs.as. G.b.a. Oeste
Ford,Ecosport,2013,1.6 Titanium 110cv 4x2,42000,410000,5.0,SUV,Bs.as. Costa Atlántica
Ford,Ranger,2015,2.2 Cd 4x2 Xl Safety Tdci 125cv,43000,450000,2.0,Pick-Up,Buenos Aires Interior
Volkswagen,Suran,2013,1.6 Highline 101cv 11c,71000,263000,5.0,Monovolumen,Bs.as. G.b.a. Norte
Honda,Fit,2013,1.5 Ex-l Mt 120cv,80000,314000,5.0,Hatchback,Mendoza
Ford,Focus III,2014,2.0 Titanium Mt,70000,459900,5.0,Hatchback,Capital Federal
Ford,Ecosport,2013,1.6 Se 110cv 4x2,57000,336500,5.0,SUV,Bs.as. G.b.a. Sur
Ford,Ecosport,2011,1.6 My10 Xls 4x2,115000,250000,5.0,SUV,Bs.as. Costa Atlántica
Mercedes Benz,Clase C,2012,2.1 C220 Avantgarde Cdi B.eff At,108000,660000,4.0,Sedán,Bs.as. G.b.a. Norte
Ford,Focus III,2014,2.0 Se Plus Mt,46770,298900,5.0,Hatchback,Capital Federal
Volkswagen,Amarok,2015,2.0 Cd Tdi 4x4 Highline Pack At C34,28500,950000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Honda,Fit,2011,1.4 Lx-l Mt 100cv,70000,255000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Ranger,2016,2.2 Cd 4x2 Xl Safety Tdci 125cv,50000,540000,2.0,Pick-Up,Bs.as. G.b.a. Sur
Mercedes Benz,Clase C,2011,1.8 C200 Cgi At Blueefficiency,91000,17500,4.0,Sedán,Santa Fe
Ford,Focus III,2018,2.0 Se Plus At6,23000,680000,5.0,Hatchback,Santa Fe
Ford,Ranger,2012,2.5 Cd 4x2 Xl Ivct 166cv,160000,380000,2.0,Pick-Up,Neuquén
Ford,Focus III,2014,2.0 Se Plus At6,47000,449000,5.0,Hatchback,Corrientes
Ford,Ka,2011,1.0 Fly Viral 63cv,89000,145000,3.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Vento,2012,2.5 Luxury 170cv,51000,410000,4.0,Sedán,San Luis
Volkswagen,Bora,2014,2.0 Trendline 115cv,68000,290000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2016,1.6 S Plus 120cv,62000,265000,5.0,Hatchback,Capital Federal
Ford,Focus II,2011,1.6 Trend Sigma,102000,209800,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Suran,2014,1.6 Highline 101cv,65000,298000,5.0,Monovolumen,Córdoba
Volkswagen,Saveiro,2015,1.6 Gp Ce 101cv Pack Electr.+seg.,81000,400000,2.0,Pick-Up,Capital Federal
Volkswagen,Amarok,2014,2.0 Cd Tdi 140cv 4x2 Startline,64500,595000,4.0,Pick-Up,Buenos Aires Interior
Honda,City,2011,1.5 Lx Mt 120cv,128000,245000,4.0,Sedán,Mendoza
Mercedes Benz,Clase C,2013,1.8 C250 Avantgarde B.efficiency At,95000,590000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Ranger,2014,3.2 Cd 4x4 Xls Tdci 200cv,91000,610000,4.0,Pick-Up,Bs.as. Costa Atlántica
Volkswagen,Gol Trend,2012,1.6 Pack I 101cv 3p,55000,220000,3.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Golf,2015,1.6 Trendline,32000,445000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ranger,2011,3.0 Cd Xl Plus 4x2,177700,280000,2.0,Pick-Up,Bs.as. G.b.a. Sur
Volkswagen,Vento,2015,2.5 Advance Plus 170cv,40000,490000,4.0,Sedán,Capital Federal
Volkswagen,Gol Trend,2011,1.6 Pack I 101cv,96900,175000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Fox,2011,1.6 Highline Imotion,78200,220000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Mercedes Benz,Clase A,2017,2.0 A250 Amg-line 211cv,23700,43000,5.0,Hatchback,Capital Federal
Ford,Focus III,2014,2.0 Sedan Se Plus Mt,39000,340000,4.0,Sedán,Capital Federal
Ford,Focus III,2013,2.0 Sedan Se,120000,320000,4.0,Sedán,Buenos Aires Interior
Ford,Focus III,2017,1.6 S,23000,505000,5.0,Hatchback,Buenos Aires Interior
Ford,Ranger,2016,2.2 Cd 4x2 Xl Safety Tdci 125cv,85000,500000,2.0,Pick-Up,Catamarca
Ford,Focus II,2013,2.0 Trend,47000,220000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2014,1.6 Pack I 101cv,83380,190000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Vento,2011,2.5 Luxury 170cv,147000,272000,4.0,Sedán,Bs.as. Costa Atlántica
Volkswagen,Suran,2013,1.6 Trendline,71500,235000,5.0,Monovolumen,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2013,2.0 Cd Tdi 4x4 Highline Pack At C34,78956,780000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2015,1.6 Cup 101cv,60000,245000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2014,1.6 Pack I Abcp Abs 101cv,108400,190000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Focus III,2014,2.0 Se,87000,340000,5.0,Hatchback,Chubut
Volkswagen,Crossfox,2012,1.6 Trendline,110000,230000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Fiesta Kinetic Design,2012,1.6 Design 120cv Titanium,78000,239900,5.0,Hatchback,Capital Federal
Volkswagen,Vento,2014,2.0 Sportline Tsi 200cv Bi-xenon,57000,495000,4.0,Sedán,Santa Fe
Volkswagen,Saveiro,2016,1.6 Gp Ce 101cv Safety + Pack High,24000,380000,2.0,Pick-Up,Buenos Aires Interior
Ford,Mondeo,2016,2.0 Se Ecoboost At 240cv,29000,840000,4.0,Sedán,Capital Federal
Volkswagen,Scirocco,2012,2.0 Tsi 211cv,37000,600000,2.0,Coupé,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2013,2.0 Cs Tdi 140cv 4x2 Startline,170600,375000,2.0,Pick-Up,Buenos Aires Interior
Ford,Focus III,2013,2.0 Se,70000,10000,5.0,Hatchback,Capital Federal
Volkswagen,Gol Trend,2014,1.6 Trendline 101cv,75000,235000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,CC,2013,2.0 Luxury Dsg Tsi 211cv,78000,579900,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Up!,2017,1.0 Move,35000,340000,5.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Ecosport,2015,1.6 Se 110cv 4x2,34000,365000,5.0,SUV,Bs.as. G.b.a. Sur
Mercedes Benz,Clase A,2013,2.0 A 250 At Sport B.efficiency,15800,38000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2013,2.0 Cd Tdi 4x4 Highline Pack At C34,99720,765000,4.0,Pick-Up,Capital Federal
Volkswagen,Suran,2011,1.6 Imotion Trendline 11b,139000,225000,5.0,Monovolumen,Capital Federal
Volkswagen,Suran,2013,1.6 Imotion Highline 11c,48000,287900,5.0,Monovolumen,Capital Federal
Ford,Ecosport,2015,1.6 Freestyle 110cv 4x2,55400,415000,5.0,SUV,Bs.as. G.b.a. Oeste
Volkswagen,Vento,2012,2.0 Luxury I 140cv Dsg,85000,399000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Bora,2011,2.0 Trendline 115cv,108000,255000,4.0,Sedán,Córdoba
Ford,Ecosport,2013,1.6 S 110cv 4x2,74000,310000,5.0,SUV,Bs.as. G.b.a. Oeste
Volkswagen,Polo,2016,1.6 Comfortline Tiptronic,41251,370000,4.0,Hatchback,Capital Federal
Volkswagen,Fox,2014,1.6 Confortline Pack,45000,275000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ka,2011,1.6 Pulse 95cv,65000,165000,3.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,CC,2012,2.0 Exclusive Dsg Tsi 211cv,112000,425000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Bora,2011,2.0 Trendline 115cv,120000,200000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2015,2.0 Cs Tdi 140cv 4x2 Startline,112000,485000,2.0,Pick-Up,Córdoba
Ford,Ranger,2015,3.2 Cd 4x2 Xlt Tdci 200cv,85000,620000,4.0,Pick-Up,Bs.as. G.b.a. Oeste
Ford,Ranger,2013,3.2 Cd 4x2 Xlt Tdci 200cv,118000,600000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Volkswagen,Fox,2016,1.6 Trendline,55000,374500,5.0,Hatchback,Capital Federal
Volkswagen,Suran,2011,1.6 Trendline 11b,114000,200000,5.0,Monovolumen,Capital Federal
Ford,Focus III,2018,1.6 S,10000,595000,5.0,Hatchback,Córdoba
Volkswagen,Voyage,2012,1.6 101cv,118000,180000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Transit,2013,2.2 Chasis Tdci 125cv Aa,54000,660000,2.0,Pick-Up,Buenos Aires Interior
Ford,Focus III,2014,2.0 Sedan Titanium At6,49000,385000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Gol Trend,2016,1.6 Highline 101cv,35000,260000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2015,2.0 Cd Tdi 4x4 Highline Pack At C34,73500,700000,4.0,Pick-Up,Bs.as. G.b.a. Oeste
Volkswagen,Saveiro,2016,1.6 Gp Ce 101cv Safety + Pack High,9000,320000,2.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Kuga,2011,2.5 Trend Mt 4x4 (ku01/ku04),124000,390000,5.0,SUV,Capital Federal
Ford,Focus III,2017,2.0 Se,5500,480000,5.0,Hatchback,Capital Federal
Volkswagen,Vento,2015,2.0 Advance 115cv Summer Package,50000,450000,4.0,Sedán,Catamarca
Volkswagen,Suran,2016,1.6 Comfortline 101cv,32000,280000,5.0,Monovolumen,Bs.as. G.b.a. Sur
Mercedes Benz,Sprinter,2011,2.1 313 3000 Mixto 4+1 S-airbag,138000,779000,2.0,Furgón,Capital Federal
Ford,Fiesta Kinetic Design,2016,1.6 Sedan S Plus 120cv,30000,350000,4.0,Sedán,Bs.as. G.b.a. Oeste
Ford,Ecosport,2013,1.6 Freestyle 110cv 4x2,62000,355000,5.0,SUV,Bs.as. G.b.a. Oeste
Ford,Ranger,2014,3.2 Cd 4x4 Limited Tdci 200cv At,73500,670000,4.0,Pick-Up,Neuquén
Honda,CR-V,2012,2.4 Ex L 4wd 185cv At,98000,550000,5.0,SUV,Bs.as. G.b.a. Norte
Volkswagen,Voyage,2017,1.6 Trenline 101cv,15000,280000,4.0,Sedán,Bs.as. G.b.a. Oeste
Ford,Focus II,2013,2.0 Trend Plus,72000,245000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Suran,2012,1.6 Imotion Highline 11c,85000,245000,5.0,Monovolumen,Capital Federal
Honda,City,2012,1.5 Ex-l Mt 120cv,103000,295000,4.0,Sedán,Bs.as. G.b.a. Norte
Ford,Focus II,2012,2.0 Exe Sedan Ghia,108000,227500,4.0,Sedán,Santa Fe
Ford,Fiesta Kinetic Design,2015,1.6 Se 120cv,37069,339000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Focus II,2011,2.0 Trend Plus,130000,210000,5.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Ranger,2016,3.2 Cd 4x2 Xlt Tdci 200cv,60000,850000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Ranger,2016,3.2 Cd 4x4 Limited Tdci 200cv At,65690,1050000,4.0,Pick-Up,Buenos Aires Interior
Ford,Ecosport,2013,1.6 Se 110cv 4x2,86500,320000,5.0,SUV,Bs.as. G.b.a. Sur
Ford,Focus III,2014,2.0 Se Plus At6,22000,13500,5.0,Hatchback,Capital Federal
Volkswagen,Gol Trend,2014,1.6 Pack Ii 101cv,24000,227000,5.0,Hatchback,Capital Federal
Ford,Focus III,2018,2.0 Se,15000,590000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Tiguan,2012,2.0 Exclusive Tsi 200cv,57800,538000,5.0,SUV,Capital Federal
Volkswagen,Vento,2011,2.5 Luxury 170cv,63500,350000,4.0,Sedán,Capital Federal
Ford,Focus III,2016,2.0 Se Plus At6,29000,435000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,The Beetle,2014,1.4 Tsi Design,68000,490000,3.0,Hatchback,Córdoba
Volkswagen,Amarok,2011,2.0 Cd Tdi 163cv 4x2 Trendline 1t2,113500,470000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2015,1.6 Se Plus 120cv,47000,260000,5.0,Hatchback,Buenos Aires Interior
Volkswagen,Polo,2016,1.6 Comfortline,61000,342000,4.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Voyage,2013,1.6 Comfortline 101cv,90000,240000,4.0,Sedán,Buenos Aires Interior
Volkswagen,Suran,2011,1.6 Trendline 11b,90000,220000,5.0,Monovolumen,Santa Fe
Ford,Ecosport,2015,1.6 Freestyle 110cv 4x2,77000,390000,5.0,SUV,Santa Fe
Volkswagen,Suran,2013,1.6 Highline 101cv,93000,265000,5.0,Monovolumen,Buenos Aires Interior
Honda,Fit,2011,1.4 Lx At,130000,212000,5.0,Hatchback,Capital Federal
Volkswagen,Voyage,2011,1.6 Comfortline Plus 101cv,116000,185000,4.0,Sedán,Mendoza
Volkswagen,Fox,2014,1.6 Confortline,90000,235000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2015,2.0 Cd Tdi 140cv 4x2 Startline,45000,600000,4.0,Pick-Up,San Juan
Volkswagen,Bora,2012,2.0 Trendline 115cv,98000,235000,4.0,Sedán,Capital Federal
Ford,Ecosport,2012,1.6 My10 Xl Plus Mp3 4x2,85000,220000,5.0,SUV,Tucumán
Mercedes Benz,Clase SLK,2012,1.8 Slk200 Cgi B.efficiency At,31500,44500,2.0,Cabriolet,Capital Federal
Volkswagen,Crossfox,2012,1.6 Comfortline,80000,225000,5.0,Hatchback,Córdoba
Ford,Fiesta Kinetic Design,2015,1.6 Titanium Powershift 120cv,53000,363000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Fox,2012,1.6 Trendline,85000,230000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Scirocco,2013,2.0 Tsi 211cv,38000,630000,2.0,Coupé,Capital Federal
Volkswagen,Amarok,2012,2.0 Cd Tdi 163cv 4x4 Trendline 4t4,130000,580000,4.0,Pick-Up,Neuquén
Volkswagen,Scirocco,2013,1.4 Tsi 160cv Dsg,64000,649900,2.0,Coupé,Bs.as. G.b.a. Norte
Volkswagen,Suran,2014,1.6 Comfortline 101cv Ab,43000,274900,5.0,Monovolumen,Capital Federal
Ford,Focus III,2015,1.6 S,85000,350000,5.0,Hatchback,Bs.as. G.b.a. Sur
